PM10,EPA_index,CO,temperature,humidity,PM25_lag_1,PM25_lag_2,PM25_lag_3,PM25_rolling_mean_3,PM10_rolling_mean_3,CO_rolling_mean_3,PM25_rolling_mean_6,PM10_rolling_mean_6,CO_rolling_mean_6,PM25_rolling_mean_12,PM10_rolling_mean_12,CO_rolling_mean_12
19.8,1,507.4,31.4,63,19.3,20.7,40.2,15.533333333333333,40.6,925.7333333333332,25.950000000000003,56.81666666666667,1344.0666666666666,30.75833333333333,58.75,1595.5166666666667
45.3,2,1174.9,31.4,66,6.6,19.3,20.7,15.4,38.1,930.1666666666666,23.8,52.93333333333334,1286.2,29.25,57.11666666666667,1539.8833333333332
32.0,1,734.3,30.1,66,20.3,6.6,19.3,12.666666666666666,32.36666666666667,805.5333333333334,19.7,44.949999999999996,1119.3,27.425,54.958333333333336,1463.1083333333333
45.9,2,1014.7,29.3,75,11.1,20.3,6.6,16.366666666666664,41.06666666666666,974.6333333333333,15.949999999999998,40.833333333333336,950.1833333333334,25.575000000000003,53.18333333333333,1358.5166666666667
58.2,2,1815.8,30.1,75,17.7,11.1,20.3,21.066666666666666,45.36666666666667,1188.2666666666667,18.23333333333333,41.73333333333333,1059.2166666666667,25.674999999999997,53.28333333333333,1365.1916666666666
91.3,3,2269.8,32.1,67,34.4,17.7,11.1,32.1,65.13333333333334,1700.1000000000001,22.383333333333336,48.75,1252.8166666666668,26.416666666666668,56.03333333333334,1400.8
76.1,2,1762.4,28.3,79,44.2,34.4,17.7,37.73333333333333,75.2,1949.3333333333333,27.05,58.133333333333326,1461.9833333333336,26.5,57.474999999999994,1403.0249999999999
57.9,2,1709.0,32.2,57,34.6,44.2,34.4,37.166666666666664,75.10000000000001,1913.7333333333336,29.116666666666664,60.23333333333334,1551.0,26.458333333333332,56.58333333333332,1418.6000000000001
39.6,2,1174.9,32.0,57,32.7,34.6,44.2,28.86666666666667,57.86666666666667,1548.7666666666667,30.483333333333334,61.5,1624.4333333333336,25.091666666666665,53.224999999999994,1371.8666666666668
125.9,4,3631.6,28.2,70,19.3,32.7,34.6,44.93333333333334,74.46666666666667,2171.8333333333335,41.333333333333336,74.83333333333333,2060.5833333333335,28.641666666666666,57.833333333333336,1505.3833333333334
41.0,2,1068.1,32.1,55,82.8,19.3,32.7,40.6,68.83333333333333,1958.2,38.88333333333333,71.96666666666667,1935.966666666667,28.558333333333334,56.85,1497.591666666667
56.5,2,1522.1,31.7,56,19.7,82.8,19.3,44.13333333333333,74.46666666666667,2073.9333333333334,36.50000000000001,66.16666666666667,1811.3500000000001,29.441666666666666,57.458333333333336,1532.0833333333333
