air_quality_PM10,air_quality_us-epa-index,air_quality_Carbon_Monoxide,air_quality_PM2.5,temperature_celsius,humidity,humidity
41.44,2,789.95,28.86,31.1,63,63
67.155,3,1006.4,46.435,33.3,53,53
96.755,4,1159.95,65.49,31.1,58,58
100.085,4,1389.35,66.045,33.4,53,53
102.12,4,1071.15,70.67,31.2,66,66
49.21,2,876.9,33.855,29.3,75,75
60.125,3,936.1,41.255,30.0,70,70
93.425,3,1295.0,64.565,32.3,56,56
204.98,4,1394.9,142.08,30.2,66,66
34.78,2,897.25,24.05,31.5,60,60
77.515,3,1206.2,53.65,32.4,67,67
183.52,4,1483.7,126.725,31.2,66,66
248.085,5,1744.55,173.53,33.0,54,54
65.12,3,900.95,45.14,30.7,66,66
174.455,4,1448.55,121.915,30.1,66,66
43.105,2,762.2,30.155,28.9,78,78
25.16,2,577.2,17.39,29.1,84,84
44.215,2,880.6,30.525,30.0,75,75
65.305,3,862.1,45.325,31.2,66,66
32.005,2,756.65,22.2,30.6,65,65
64.565,3,1061.9,44.585,32.4,59,59
89.355,3,1093.35,61.605,33.3,53,53
37.0,2,606.8,25.715,29.6,68,68
33.855,2,514.3,22.755,29.7,77,77
53.835,2,862.1,37.555,30.7,64,64
115.81,4,2430.9,81.215,32.3,63,63
275.65,5,3061.75,192.955,32.9,50,50
254.19,5,2375.4,177.97,33.4,53,53
103.97,4,4758.2,72.52,34.3,56,56
78.625,3,1670.55,54.945,32.4,46,46
68.45,3,3339.25,43.475,32.0,49,49
69.56,3,3326.3,46.25,31.2,59,59
34.78,2,2353.2,24.235,28.2,70,70
38.11,2,2255.15,26.64,29.1,62,62
60.125,2,2541.9,38.85,27.6,73,73
68.635,3,2079.4,43.845,29.4,64,64
74.0,3,3629.7,48.84,30.1,57,57
95.275,3,2806.45,64.01,33.2,44,44
81.4,3,3772.15,55.5,33.2,47,47
80.105,3,1306.1,54.945,33.0,49,49
93.055,3,1428.2,64.195,34.3,47,47
62.53,3,2913.75,61.975,33.3,56,56
31.265,2,2144.15,31.265,31.3,66,66
54.575,3,2268.1,54.205,35.1,47,47
71.965,4,2754.65,71.78,30.1,70,70
46.99,3,1879.6,46.805,32.4,49,49
