temperature_celsius,humidity,air_quality_PM2.5,air_quality_PM2.5_normalized,temperature_celsius_normalized,humidity_normalized
31.0,75,115.2,2.670517957959823,0.3547247792259821,0.4259552205465108
30.0,79,150.8,3.8817694614210705,-0.10850701195628039,0.7598242752027748
31.0,75,33.2,-0.11944337023743205,0.3547247792259821,0.4259552205465108
27.0,89,14.8,-0.7454834731499869,-1.498202385503068,1.594496911843435
30.0,84,65.0,0.962517242404918,-0.10850701195628039,1.1771605935231049
27.0,89,25.9,-0.367817976284261,-1.498202385503068,1.594496911843435
30.0,75,26.1,-0.3610131925569505,-0.10850701195628039,0.4259552205465108
27.0,94,28.5,-0.27935578782922604,-1.498202385503068,2.0118332301637647
30.0,75,31.7,-0.17047924819226,-0.10850701195628039,0.4259552205465108
30.0,79,18.3,-0.6263997579220553,-0.10850701195628039,0.7598242752027748
26.0,84,18.4,-0.6229973660584002,-1.9614341766853305,1.1771605935231049
32.0,67,32.7,-0.136455329555708,0.8179565704082447,-0.24178288876601717
30.0,66,38.4,0.057481006672637634,-0.10850701195628039,-0.32525015243008315
32.0,67,33.0,-0.12624815396474254,0.8179565704082447,-0.24178288876601717
27.0,94,39.9,0.10851688462746548,-1.498202385503068,2.0118332301637647
27.0,89,33.2,-0.11944337023743205,-1.498202385503068,1.594496911843435
30.0,75,35.3,-0.04799314110067327,-0.10850701195628039,0.4259552205465108
30.0,70,33.6,-0.10583380278281135,-0.10850701195628039,0.00861890222618083
31.0,63,33.2,-0.11944337023743205,0.3547247792259821,-0.5756519434222812
32.0,67,35.7,-0.03438357364605232,0.8179565704082447,-0.24178288876601717
32.0,56,40.2,0.11872406021843118,0.8179565704082447,-1.159922789070743
31.0,71,20.7,-0.5447423531943308,0.3547247792259821,0.09208616589024683
31.2,66,19.3,-0.5923758392855034,0.4473711374624343,-0.32525015243008315
31.4,63,6.6,-1.0244796059697123,0.5400174956988865,-0.5756519434222812
31.4,66,20.3,-0.5583519206489516,0.5400174956988865,-0.32525015243008315
30.1,66,11.1,-0.8713719721052289,-0.062183832838053475,-0.32525015243008315
29.3,75,17.7,-0.6468141091039865,-0.4327692657838638,0.4259552205465108
30.1,75,34.4,-0.07861466787356992,-0.062183832838053475,0.4259552205465108
32.1,67,44.2,0.25481973476463876,0.8642797495264716,-0.24178288876601717
28.3,79,34.6,-0.07180988414625945,-0.8960010569661263,0.7598242752027748
32.2,57,32.7,-0.136455329555708,0.9106029286446985,-1.0764555254066772
32.0,57,19.3,-0.5923758392855034,0.8179565704082447,-1.0764555254066772
28.2,70,82.8,1.5681429941355416,-0.9423242360843532,0.00861890222618083
32.1,55,19.7,-0.5787662718308827,0.8642797495264716,-1.2433900527348092
31.7,56,29.9,-0.23172230173805344,0.6789870330535656,-1.159922789070743
32.4,54,19.5,-0.585571055558193,1.003249286881149,-1.326857316398875
30.3,75,61.7,0.8502383109042968,0.0304625253983987,0.4259552205465108
31.3,71,22.3,-0.49030408337584774,0.4936943165806612,0.09208616589024683
32.4,56,30.8,-0.20110077496515666,1.003249286881149,-1.159922789070743
27.7,74,13.2,-0.79992174296847,-1.1739401316754845,0.3424879568824448
27.1,89,37.8,0.03706665549070645,-1.451879206384841,1.594496911843435
30.4,75,20.5,-0.5515471369216411,0.07678570451662396,0.4259552205465108
30.0,66,18.7,-0.6127901904674345,-0.10850701195628039,-0.32525015243008315
29.4,79,12.4,-0.8271408778777115,-0.38644608666563857,0.7598242752027748
27.0,89,16.3,-0.6944475951951591,-1.498202385503068,1.594496911843435
31.1,63,48.6,0.404524976765467,0.40104795834420903,-0.5756519434222812
32.4,63,31.5,-0.17728403191957037,1.003249286881149,-0.5756519434222812
30.1,75,19.7,-0.5787662718308827,-0.062183832838053475,0.4259552205465108
28.0,79,26.0,-0.3644155844206058,-1.0349705943208054,0.7598242752027748
29.1,79,44.2,0.25481973476463876,-0.5254156240203159,0.7598242752027748
28.1,84,35.5,-0.0411883573733628,-0.9886474152025785,1.1771605935231049
31.3,66,23.5,-0.4494753810119855,0.4936943165806612,-0.32525015243008315
30.3,70,50.3,0.4623656384476051,0.0304625253983987,0.00861890222618083
30.3,79,30.7,-0.2045031668288119,0.0304625253983987,0.7598242752027748
30.2,75,27.1,-0.3269892739203986,-0.01586065371982821,0.4259552205465108
25.4,100,23.8,-0.4392682054210199,-2.2393732513946887,2.512636812148161
26.3,89,29.1,-0.25894143664729485,-1.8224646393306514,1.594496911843435
26.3,81,10.2,-0.9019934988781256,-1.8224646393306514,0.9267588025309068
30.4,70,40.9,0.14254080326401736,0.07678570451662396,0.00861890222618083
31.3,66,30.1,-0.22491751801074297,0.4936943165806612,-0.32525015243008315
29.1,66,16.2,-0.6978499870588143,-0.5254156240203159,-0.32525015243008315
31.0,63,17.2,-0.6638260684222624,0.3547247792259821,-0.5756519434222812
29.1,79,22.7,-0.476694515921227,-0.5254156240203159,0.7598242752027748
29.1,79,21.3,-0.5243280020123996,-0.5254156240203159,0.7598242752027748
