air_quality_PM2.5
32.7
38.4
33.0
39.9
33.2
35.3
33.6
33.2
35.7
40.2
20.7
19.3
6.6
20.3
11.1
17.7
34.4
44.2
34.6
32.7
19.3
82.8
19.7
29.9
19.5
61.7
22.3
30.8
13.2
37.8
20.5
18.7
12.4
16.3
48.6
31.5
19.7
26.0
44.2
35.5
23.5
50.3
30.7
27.1
23.8
29.1
10.2
40.9
30.1
16.2
17.2
22.7
21.3
16.5
19.9
15.4
15.9
15.9
16.9
14.1
22.1
17.6
19.9
36.2
16.5
14.5
42.0
22.1
45.1
39.5
21.7
39.9
17.3
12.8
22.7
21.5
29.3
19.7
28.1
14.7
12.9
33.0
18.1
29.0
29.5
14.7
8.0
20.1
23.2
21.9
40.3
51.1
44.7
37.7
19.3
24.0
34.6
50.6
9.4
32.375
12.395
11.655
15.17
19.795
12.765
37.74
33.3
33.67
26.455
34.595
32.93
32.005
27.01
49.025
10.175
7.585
10.175
8.14
31.45
45.695
35.335
70.3
22.755
32.56
21.83
17.02
14.245
28.86
46.435
65.49
66.045
70.67
33.855
41.255
64.565
142.08
24.05
53.65
